datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,db18,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1710.32,ssb,1
iceberg,spark,db19,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,6910.29,ssb,1
iceberg,spark,db2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2561.97,ssb,1
iceberg,spark,db21,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,1877.61,ssb,1
iceberg,spark,db6,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2379.56,ssb,1
iceberg,spark,db7,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,7216.11,ssb,1
iceberg,spark,q1_1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2103.14,ssb,1
iceberg,spark,q2_1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,3834.68,ssb,1
iceberg,spark,q2_2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,2385.11,ssb,1
iceberg,spark,q4_2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,9655.8,ssb,1
iceberg,spark,q4_3,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=128m,11874.51,ssb,1
iceberg,spark,db1,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2000.41,ssb,1
iceberg,spark,db10,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,1784.78,ssb,1
iceberg,spark,db11,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3800.78,ssb,1
iceberg,spark,db14,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,7106.53,ssb,1
