datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,tpch_0_q3,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,17870.07,tpch,10
delta,spark,tpch_0_q6,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,14066.95,tpch,10
delta,spark,tpch_0_q8,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,1501.04,tpch,10
delta,spark,tpch_0_q9,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,12948.79,tpch,10
delta,spark,tpch_1_q1,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,4302.34,tpch,10
delta,spark,tpch_1_q10,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,13055.76,tpch,10
delta,spark,tpch_1_q12,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,3585.88,tpch,10
delta,spark,tpch_1_q13,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,1501.04,tpch,10
delta,spark,tpch_1_q16,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,13399.22,tpch,10
delta,spark,tpch_1_q17,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,7243.39,tpch,10
delta,spark,tpch_1_q18,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,9625.6,tpch,10
delta,spark,tpch_1_q19,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,12178.15,tpch,10
delta,spark,tpch_1_q2,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,5426.0,tpch,10
delta,spark,tpch_1_q20,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,9214.38,tpch,10
delta,spark,tpch_1_q3,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,12320.7,tpch,10
delta,spark,tpch_1_q4,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,23710.86,tpch,10
delta,spark,tpch_1_q5,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,36083.83,tpch,10
delta,spark,tpch_1_q7,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,16060.12,tpch,10
delta,spark,tpch_1_q8,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,20450.36,tpch,10
delta,spark,tpch_1_q9,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,3871.42,tpch,10
delta,spark,tpch_2_q1,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,20118.93,tpch,10
delta,spark,tpch_2_q11,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,3403.36,tpch,10
delta,spark,tpch_2_q12,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,4615.0,tpch,10
delta,spark,tpch_2_q14,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,3336.39,tpch,10
delta,spark,tpch_2_q19,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,11111.63,tpch,10
delta,spark,tpch_2_q20,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,18023.72,tpch,10
delta,spark,tpch_2_q21,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,16838.41,tpch,10
delta,spark,tpch_2_q22,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,8006.41,tpch,10
delta,spark,tpch_2_q3,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2301.41,tpch,10
delta,spark,tpch_2_q4,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2740.69,tpch,10
delta,spark,tpch_2_q5,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,13671.64,tpch,10
delta,spark,tpch_2_q7,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,44803.79,tpch,10
delta,spark,tpch_2_q9,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,1976.67,tpch,10
delta,spark,tpch_0_q12,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,1503.73,tpch,10
delta,spark,tpch_0_q13,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,11531.01,tpch,10
delta,spark,tpch_0_q15,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6395.25,tpch,10
delta,spark,tpch_0_q18,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2867.85,tpch,10
delta,spark,tpch_0_q2,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,8299.15,tpch,10
delta,spark,tpch_0_q20,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,10163.43,tpch,10
delta,spark,tpch_0_q22,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3105.81,tpch,10
delta,spark,tpch_0_q3,spark.executor.memory=8g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3129.27,tpch,10
