datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,tpch_2_q11,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,27923.46,tpch,10
hudi,spark,tpch_2_q12,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3078.78,tpch,10
hudi,spark,tpch_2_q14,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7956.99,tpch,10
hudi,spark,tpch_2_q19,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,1681.53,tpch,10
hudi,spark,tpch_2_q20,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,5109.34,tpch,10
hudi,spark,tpch_2_q21,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,12358.83,tpch,10
hudi,spark,tpch_2_q22,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,7875.67,tpch,10
hudi,spark,tpch_2_q3,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2637.09,tpch,10
hudi,spark,tpch_2_q4,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3712.52,tpch,10
hudi,spark,tpch_2_q5,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,13907.71,tpch,10
hudi,spark,tpch_2_q7,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,29516.69,tpch,10
hudi,spark,tpch_2_q9,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3965.75,tpch,10
hudi,spark,tpch_0_q12,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,1754.83,tpch,10
hudi,spark,tpch_0_q13,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,18591.79,tpch,10
hudi,spark,tpch_0_q15,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,13150.05,tpch,10
hudi,spark,tpch_0_q18,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,2203.97,tpch,10
hudi,spark,tpch_0_q2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=512m,3078.6,tpch,10
