datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,tpch_0_q15,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,7070.0,tpch,10
iceberg,spark,tpch_0_q15,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,7421.0,tpch,10
iceberg,spark,tpch_0_q16,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,1901.0,tpch,10
iceberg,spark,tpch_0_q16,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,2408.0,tpch,10
iceberg,spark,tpch_0_q16,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,2518.0,tpch,10
iceberg,spark,tpch_0_q16,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,2122.0,tpch,10
iceberg,spark,tpch_0_q16,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,2406.0,tpch,10
iceberg,spark,tpch_0_q16,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,1942.0,tpch,10
iceberg,spark,tpch_0_q16,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,2242.0,tpch,10
iceberg,spark,tpch_0_q16,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,2489.0,tpch,10
iceberg,spark,tpch_0_q16,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,2490.0,tpch,10
iceberg,spark,tpch_0_q16,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,2131.0,tpch,10
iceberg,spark,tpch_0_q17,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,11673.0,tpch,10
iceberg,spark,tpch_0_q17,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,12935.0,tpch,10
iceberg,spark,tpch_0_q17,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,12244.0,tpch,10
iceberg,spark,tpch_0_q17,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,11869.0,tpch,10
iceberg,spark,tpch_0_q17,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,12087.0,tpch,10
iceberg,spark,tpch_0_q17,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,11753.0,tpch,10
iceberg,spark,tpch_0_q17,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,13589.0,tpch,10
iceberg,spark,tpch_0_q17,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,13315.0,tpch,10
iceberg,spark,tpch_0_q17,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,12668.0,tpch,10
iceberg,spark,tpch_0_q17,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,12768.0,tpch,10
iceberg,spark,tpch_0_q18,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,15538.0,tpch,10
iceberg,spark,tpch_0_q18,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,16319.0,tpch,10
iceberg,spark,tpch_0_q18,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,16188.0,tpch,10
iceberg,spark,tpch_0_q18,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,15563.0,tpch,10
iceberg,spark,tpch_0_q18,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,16883.0,tpch,10
iceberg,spark,tpch_0_q18,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,15321.0,tpch,10
iceberg,spark,tpch_0_q18,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,16947.0,tpch,10
iceberg,spark,tpch_0_q18,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,18078.0,tpch,10
iceberg,spark,tpch_0_q18,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,16569.0,tpch,10
iceberg,spark,tpch_0_q18,32.0;10.0;27.0;32.0;10.0;27.0;0;1;0,17037.0,tpch,10
iceberg,spark,tpch_0_q19,132.0;27.0;27.0;132.0;27.0;27.0;1;1;1,5165.0,tpch,10
iceberg,spark,tpch_0_q19,8.0;12.0;553.0;132.0;27.0;27.0;0;1;1,4899.0,tpch,10
iceberg,spark,tpch_0_q19,132.0;27.0;27.0;8.0;12.0;553.0;1;0;0,4780.0,tpch,10
iceberg,spark,tpch_0_q19,132.0;27.0;27.0;132.0;27.0;27.0;0;0;1,5065.0,tpch,10
iceberg,spark,tpch_0_q19,8.0;12.0;553.0;132.0;27.0;27.0;1;1;0,4796.0,tpch,10
iceberg,spark,tpch_0_q19,132.0;27.0;27.0;8.0;12.0;553.0;0;1;0,5178.0,tpch,10
iceberg,spark,tpch_0_q19,32.0;10.0;27.0;32.0;10.0;27.0;0;0;1,5066.0,tpch,10
iceberg,spark,tpch_0_q19,32.0;107.0;562.0;32.0;10.0;27.0;0;1;1,4975.0,tpch,10
iceberg,spark,tpch_0_q19,32.0;10.0;27.0;32.0;107.0;562.0;0;0;1,5129.0,tpch,10
