datalake,engine,query name,conf,latency,benchmark,sf
iceberg,presto,db12,18.7;211.8;150.2;9.1;40.4;523.7;1645.5,29000.07,tpch,100
iceberg,presto,db9,22.6; 197.5; 14.5; 7.0; 6.6; 1804.1; 373.5,31436.42,tpch,100
iceberg,presto,db19,18.2; 216.4; 146.9; 8.6; 41.7; 515.7; 1463.7,41160.39,tpch,100
iceberg,presto,db5,15.2; 237.6; 19.7; 16.2; 17.2; 35.3; 32.2,18527.60,tpch,100
iceberg,presto,db13,15.5; 260.4; 17.7; 19.7; 15.4; 41.1; 33.8,39235.96,tpch,100
iceberg,presto,db12,21.5; 228.9; 13.8; 6.1; 5.5; 2276.0; 384.0,41708.67,tpch,100
iceberg,presto,db20,25.1; 210.8; 17.2; 6.8; 6.2; 2087.8; 415.0,40858.47,tpch,100
iceberg,presto,db6,26;207;16;6;6;2048;390,17265.45,tpch,100
iceberg,presto,db3,27.0; 203.3; 18.0; 5.5; 6.3; 1836.6; 416.7,30115.75,tpch,100
iceberg,presto,db7,18.3; 227.1; 15.8; 17.9; 18.3; 37.2; 41.3,33132.71,tpch,100
iceberg,presto,db4,22.2;168.8;117.8;9.6;39.4;474.6;1592.3,25018.93,tpch,100
iceberg,presto,db12,14.6; 261.7; 18.0; 19.1; 18.5; 37.6; 33.0,43698.75,tpch,100
iceberg,presto,db22,26.8; 234.2; 15.5; 5.9; 6.0; 2174.9; 349.8,10416.30,tpch,100
iceberg,presto,db1,16;200;20;18;18;32;32,32905.0,tpch,100
iceberg,presto,db11,16;200;20;18;18;32;32,20699.0,tpch,100
iceberg,presto,db12,16;200;20;18;18;32;32,45360.0,tpch,100
iceberg,presto,db13,16;200;20;18;18;32;32,31851.0,tpch,100
iceberg,presto,db14,16;200;20;18;18;32;32,30796.0,tpch,100
iceberg,presto,db15,16;200;20;18;18;32;32,54783.0,tpch,100
iceberg,presto,db16,16;200;20;18;18;32;32,16613.0,tpch,100
iceberg,presto,db17,16;200;20;18;18;32;32,105187.0,tpch,100
iceberg,presto,db19,16;200;20;18;18;32;32,36203.0,tpch,100
iceberg,presto,db2,16;200;20;18;18;32;32,27605.0,tpch,100
iceberg,presto,db20,16;200;20;18;18;32;32,44678.0,tpch,100
iceberg,presto,db22,16;200;20;18;18;32;32,126176.0,tpch,100
iceberg,presto,db3,16;200;20;18;18;32;32,49820.0,tpch,100
iceberg,presto,db4,16;200;20;18;18;32;32,24798.0,tpch,100
iceberg,presto,db5,16;200;20;18;18;32;32,0.0,tpch,100
iceberg,presto,db6,16;200;20;18;18;32;32,0.0,tpch,100
iceberg,presto,db7,16;200;20;18;18;32;32,0.0,tpch,100
iceberg,presto,db8,16;200;20;18;18;32;32,77012.0,tpch,100
iceberg,presto,db9,16;200;20;18;18;32;32,169466.0,tpch,100
