datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,db17,18;256;20;18;16;16,1421.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1574.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1119.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,936.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1354.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2548.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,481.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,2401.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,783.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,2199.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,735.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2366.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1322.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2074.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,2962.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,3789.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,1208.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1672.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1890.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1297.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1706.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,902.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1421.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1574.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1119.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,936.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1354.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2548.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,481.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,2401.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,783.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,2199.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,735.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2366.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1322.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2074.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,2861.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,4231.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,2252.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1497.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1407.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1181.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1312.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,741.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1095.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1627.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1342.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,756.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1371.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2712.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,475.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,1989.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,609.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,2361.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,775.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2343.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1285.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2174.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,2861.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,4231.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,2252.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1497.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1407.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1181.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1312.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,741.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1095.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1627.0,tpch,1
delta,trino,db19,18;256;20;18;16;16,1342.0,tpch,1
delta,trino,db2,18;256;20;18;16;16,756.0,tpch,1
delta,trino,db20,18;256;20;18;16;16,1371.0,tpch,1
delta,trino,db21,18;256;20;18;16;16,2712.0,tpch,1
delta,trino,db22,18;256;20;18;16;16,475.0,tpch,1
delta,trino,db3,18;256;20;18;16;16,1989.0,tpch,1
delta,trino,db4,18;256;20;18;16;16,609.0,tpch,1
delta,trino,db5,18;256;20;18;16;16,2361.0,tpch,1
delta,trino,db6,18;256;20;18;16;16,775.0,tpch,1
delta,trino,db7,18;256;20;18;16;16,2343.0,tpch,1
delta,trino,db8,18;256;20;18;16;16,1285.0,tpch,1
delta,trino,db9,18;256;20;18;16;16,2174.0,tpch,1
delta,trino,db1,18;256;20;18;16;16,2861.0,tpch,1
delta,trino,db10,18;256;20;18;16;16,4231.0,tpch,1
delta,trino,db11,18;256;20;18;16;16,2252.0,tpch,1
delta,trino,db12,18;256;20;18;16;16,1497.0,tpch,1
delta,trino,db13,18;256;20;18;16;16,1407.0,tpch,1
delta,trino,db14,18;256;20;18;16;16,1181.0,tpch,1
delta,trino,db15,18;256;20;18;16;16,1312.0,tpch,1
delta,trino,db16,18;256;20;18;16;16,741.0,tpch,1
delta,trino,db17,18;256;20;18;16;16,1095.0,tpch,1
delta,trino,db18,18;256;20;18;16;16,1627.0,tpch,1
