datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,db7,16;200;20;18;18;32;32,13917.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,16441.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,14555.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,8269.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,6975.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,4906.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,5263.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,3652.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,4591.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,3668.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,1957.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,3881.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,4732.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,5925.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,3478.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,4104.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,9022.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,1447.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,3754.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2493.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,5667.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2556.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,6771.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,7462.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,7765.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,7828.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,9910.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,8238.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,4807.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,6309.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,4895.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,4633.0,tpch,1
delta,presto,db16,16;200;20;18;18;32;32,3196.0,tpch,1
delta,presto,db17,16;200;20;18;18;32;32,5998.0,tpch,1
delta,presto,db18,16;200;20;18;18;32;32,5279.0,tpch,1
delta,presto,db19,16;200;20;18;18;32;32,5740.0,tpch,1
delta,presto,db2,16;200;20;18;18;32;32,6676.0,tpch,1
delta,presto,db20,16;200;20;18;18;32;32,4603.0,tpch,1
delta,presto,db21,16;200;20;18;18;32;32,9879.0,tpch,1
delta,presto,db22,16;200;20;18;18;32;32,1635.0,tpch,1
delta,presto,db3,16;200;20;18;18;32;32,5448.0,tpch,1
delta,presto,db4,16;200;20;18;18;32;32,2881.0,tpch,1
delta,presto,db5,16;200;20;18;18;32;32,6867.0,tpch,1
delta,presto,db6,16;200;20;18;18;32;32,2292.0,tpch,1
delta,presto,db7,16;200;20;18;18;32;32,7118.0,tpch,1
delta,presto,db8,16;200;20;18;18;32;32,8786.0,tpch,1
delta,presto,db9,16;200;20;18;18;32;32,7845.0,tpch,1
delta,presto,db1,16;200;20;18;18;32;32,6765.0,tpch,1
delta,presto,db10,16;200;20;18;18;32;32,4772.0,tpch,1
delta,presto,db11,16;200;20;18;18;32;32,2218.0,tpch,1
delta,presto,db12,16;200;20;18;18;32;32,4127.0,tpch,1
delta,presto,db13,16;200;20;18;18;32;32,2927.0,tpch,1
delta,presto,db14,16;200;20;18;18;32;32,3233.0,tpch,1
delta,presto,db15,16;200;20;18;18;32;32,3178.0,tpch,1
