datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,tpcds_q_18,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3858.59,tpcds,10
iceberg,spark,tpcds_q_19,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3459.17,tpcds,10
iceberg,spark,tpcds_q_21,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3893.2,tpcds,10
iceberg,spark,tpcds_q_23,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3952.66,tpcds,10
iceberg,spark,tpcds_q_24,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3973.83,tpcds,10
iceberg,spark,tpcds_q_25,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3724.44,tpcds,10
iceberg,spark,tpcds_q_27,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3955.88,tpcds,10
iceberg,spark,tpcds_ssb_flat_queries,spark.executor.memory=2g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=4g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4350.91,tpcds,10
iceberg,spark,tpcds_merged,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,11270.0,tpcds,10
iceberg,spark,tpcds_q1,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2188.54,tpcds,10
iceberg,spark,tpcds_q10,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,12055.88,tpcds,10
iceberg,spark,tpcds_q11,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1748.65,tpcds,10
iceberg,spark,tpcds_q13,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5451.17,tpcds,10
iceberg,spark,tpcds_q14_a,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2724.4,tpcds,10
iceberg,spark,tpcds_q14_b,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1573.07,tpcds,10
iceberg,spark,tpcds_q14a,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3974.03,tpcds,10
iceberg,spark,tpcds_q17,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,11747.59,tpcds,10
