datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,query74,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4849.19,tpcds,1
hudi,trino,query75,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4760.53,tpcds,1
hudi,trino,query76,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4354.51,tpcds,1
hudi,trino,query77,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4483.19,tpcds,1
hudi,trino,query78,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4211.68,tpcds,1
hudi,trino,query79,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4528.88,tpcds,1
hudi,trino,query8,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4899.57,tpcds,1
hudi,trino,query80,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4342.89,tpcds,1
hudi,trino,query81,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4476.21,tpcds,1
hudi,trino,query82,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,5038.92,tpcds,1
hudi,trino,query83,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4940.26,tpcds,1
hudi,trino,query84,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4614.09,tpcds,1
hudi,trino,query85,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4859.41,tpcds,1
hudi,trino,query86,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4314.51,tpcds,1
hudi,trino,query87,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4397.24,tpcds,1
hudi,trino,query88,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4292.65,tpcds,1
hudi,trino,query89,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4424.21,tpcds,1
hudi,trino,query9,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,4942.07,tpcds,1
hudi,trino,query90,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,6337.04,tpcds,1
hudi,trino,query91,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,5720.26,tpcds,1
hudi,trino,query92,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,6617.45,tpcds,1
hudi,trino,query93,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,6456.0,tpcds,1
hudi,trino,query94,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,5835.06,tpcds,1
hudi,trino,query95,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,6639.49,tpcds,1
hudi,trino,query96,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,5769.17,tpcds,1
hudi,trino,query97,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,5574.15,tpcds,1
hudi,trino,query98,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,6353.66,tpcds,1
hudi,trino,query99,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,6096.11,tpcds,1
hudi,trino,query1,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,12.87,tpcds,1
hudi,trino,query10,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,14.65,tpcds,1
hudi,trino,query11,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,12.38,tpcds,1
hudi,trino,query12,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,13.31,tpcds,1
hudi,trino,query13,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,12.56,tpcds,1
hudi,trino,query14,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,13.51,tpcds,1
hudi,trino,query14_a,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,13.52,tpcds,1
hudi,trino,query14_b,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,12.29,tpcds,1
