datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,ssb_q18,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,3351.0,ssb,10
hudi,spark,ssb_q18,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,3021.0,ssb,10
hudi,spark,ssb_q18,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,3962.0,ssb,10
hudi,spark,ssb_q18,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,3220.0,ssb,10
hudi,spark,ssb_q18,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3119.0,ssb,10
hudi,spark,ssb_q18,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3288.0,ssb,10
hudi,spark,ssb_q18,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,3231.0,ssb,10
hudi,spark,ssb_q18,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,3282.0,ssb,10
hudi,spark,ssb_q18,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,3100.0,ssb,10
hudi,spark,ssb_q2,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,10107.0,ssb,10
hudi,spark,ssb_q2,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,9139.0,ssb,10
hudi,spark,ssb_q2,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,9339.0,ssb,10
hudi,spark,ssb_q2,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,9109.0,ssb,10
hudi,spark,ssb_q2,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,9943.0,ssb,10
hudi,spark,ssb_q2,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,8543.0,ssb,10
hudi,spark,ssb_q2,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,10513.0,ssb,10
hudi,spark,ssb_q2,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,10804.0,ssb,10
hudi,spark,ssb_q2,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,9081.0,ssb,10
hudi,spark,ssb_q2,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,9251.0,ssb,10
hudi,spark,ssb_q2,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,9638.0,ssb,10
hudi,spark,ssb_q2,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,9240.0,ssb,10
hudi,spark,ssb_q2,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,9972.0,ssb,10
hudi,spark,ssb_q2,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,10014.0,ssb,10
hudi,spark,ssb_q23,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,126.0,ssb,10
hudi,spark,ssb_q23,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,122.0,ssb,10
hudi,spark,ssb_q23,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,101.0,ssb,10
hudi,spark,ssb_q23,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,111.0,ssb,10
hudi,spark,ssb_q23,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,122.0,ssb,10
hudi,spark,ssb_q23,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,122.0,ssb,10
hudi,spark,ssb_q25,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,430.0,ssb,10
hudi,spark,ssb_q25,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,467.0,ssb,10
hudi,spark,ssb_q25,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,441.0,ssb,10
hudi,spark,ssb_q25,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,439.0,ssb,10
hudi,spark,ssb_q25,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,452.0,ssb,10
hudi,spark,ssb_q25,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,433.0,ssb,10
hudi,spark,ssb_q25,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,418.0,ssb,10
hudi,spark,ssb_q25,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,454.0,ssb,10
hudi,spark,ssb_q25,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,411.0,ssb,10
hudi,spark,ssb_q25,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,454.0,ssb,10
hudi,spark,ssb_q25,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,434.0,ssb,10
hudi,spark,ssb_q25,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,450.0,ssb,10
hudi,spark,ssb_q25,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,434.0,ssb,10
hudi,spark,ssb_q25,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,466.0,ssb,10
hudi,spark,ssb_q26,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,135.0,ssb,10
hudi,spark,ssb_q26,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,129.0,ssb,10
hudi,spark,ssb_q26,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,136.0,ssb,10
hudi,spark,ssb_q28,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3248.0,ssb,10
hudi,spark,ssb_q28,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,3426.0,ssb,10
hudi,spark,ssb_q28,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,3443.0,ssb,10
hudi,spark,ssb_q28,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3263.0,ssb,10
hudi,spark,ssb_q28,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3259.0,ssb,10
hudi,spark,ssb_q28,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,3190.0,ssb,10
hudi,spark,ssb_q28,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,3452.0,ssb,10
hudi,spark,ssb_q28,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,3332.0,ssb,10
hudi,spark,ssb_q28,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,3296.0,ssb,10
hudi,spark,ssb_q28,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3359.0,ssb,10
hudi,spark,ssb_q28,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3439.0,ssb,10
hudi,spark,ssb_q28,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,3095.0,ssb,10
hudi,spark,ssb_q28,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,3174.0,ssb,10
hudi,spark,ssb_q28,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,3162.0,ssb,10
hudi,spark,ssb_q3,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,2387.0,ssb,10
hudi,spark,ssb_q3,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,2549.0,ssb,10
hudi,spark,ssb_q3,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,2625.0,ssb,10
hudi,spark,ssb_q3,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,2254.0,ssb,10
hudi,spark,ssb_q3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,2361.0,ssb,10
hudi,spark,ssb_q3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,3031.0,ssb,10
hudi,spark,ssb_q3,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,2740.0,ssb,10
hudi,spark,ssb_q3,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,2249.0,ssb,10
hudi,spark,ssb_q3,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,2671.0,ssb,10
hudi,spark,ssb_q3,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2220.0,ssb,10
hudi,spark,ssb_q3,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2615.0,ssb,10
hudi,spark,ssb_q3,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,2306.0,ssb,10
hudi,spark,ssb_q3,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,2569.0,ssb,10
hudi,spark,ssb_q3,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,2724.0,ssb,10
hudi,spark,ssb_q32,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3960.0,ssb,10
hudi,spark,ssb_q32,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,5071.0,ssb,10
hudi,spark,ssb_q32,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,4392.0,ssb,10
hudi,spark,ssb_q32,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,3730.0,ssb,10
hudi,spark,ssb_q32,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3860.0,ssb,10
hudi,spark,ssb_q32,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,4296.0,ssb,10
hudi,spark,ssb_q32,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,4662.0,ssb,10
hudi,spark,ssb_q32,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,4183.0,ssb,10
hudi,spark,ssb_q32,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,4264.0,ssb,10
hudi,spark,ssb_q32,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3790.0,ssb,10
hudi,spark,ssb_q32,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,4605.0,ssb,10
hudi,spark,ssb_q32,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,4198.0,ssb,10
hudi,spark,ssb_q32,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,4389.0,ssb,10
hudi,spark,ssb_q32,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,4084.0,ssb,10
hudi,spark,ssb_q33,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,4597.0,ssb,10
hudi,spark,ssb_q33,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,5528.0,ssb,10
hudi,spark,ssb_q33,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,4590.0,ssb,10
hudi,spark,ssb_q33,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,4143.0,ssb,10
hudi,spark,ssb_q33,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,3913.0,ssb,10
hudi,spark,ssb_q33,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,4621.0,ssb,10
hudi,spark,ssb_q33,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,5033.0,ssb,10
hudi,spark,ssb_q33,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,4849.0,ssb,10
hudi,spark,ssb_q33,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,4677.0,ssb,10
hudi,spark,ssb_q33,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,4626.0,ssb,10
hudi,spark,ssb_q33,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,4987.0,ssb,10
hudi,spark,ssb_q33,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,4443.0,ssb,10
hudi,spark,ssb_q33,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,4858.0,ssb,10
hudi,spark,ssb_q33,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,4265.0,ssb,10
hudi,spark,ssb_q34,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,2275.0,ssb,10
hudi,spark,ssb_q34,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,2990.0,ssb,10
hudi,spark,ssb_q34,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,2459.0,ssb,10
hudi,spark,ssb_q34,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,2196.0,ssb,10
hudi,spark,ssb_q34,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,2336.0,ssb,10
hudi,spark,ssb_q34,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,2385.0,ssb,10
hudi,spark,ssb_q34,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,2554.0,ssb,10
hudi,spark,ssb_q34,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,2238.0,ssb,10
hudi,spark,ssb_q34,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,2506.0,ssb,10
hudi,spark,ssb_q34,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2166.0,ssb,10
hudi,spark,ssb_q34,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,2782.0,ssb,10
hudi,spark,ssb_q34,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,2313.0,ssb,10
hudi,spark,ssb_q34,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,2493.0,ssb,10
hudi,spark,ssb_q34,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,2276.0,ssb,10
hudi,spark,ssb_q36,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,106.0,ssb,10
hudi,spark,ssb_q36,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,121.0,ssb,10
hudi,spark,ssb_q36,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,118.0,ssb,10
hudi,spark,ssb_q36,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,118.0,ssb,10
hudi,spark,ssb_q36,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,118.0,ssb,10
hudi,spark,ssb_q36,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,115.0,ssb,10
hudi,spark,ssb_q36,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,106.0,ssb,10
hudi,spark,ssb_q36,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,122.0,ssb,10
hudi,spark,ssb_q36,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,103.0,ssb,10
hudi,spark,ssb_q36,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,163.0,ssb,10
hudi,spark,ssb_q36,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,101.0,ssb,10
hudi,spark,ssb_q36,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,113.0,ssb,10
