datalake,engine,query name,conf,latency,benchmark,sf
iceberg,spark,q4_1,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,6709.1,ssb,100
iceberg,spark,q4_2,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,4042.08,ssb,100
iceberg,spark,q4_3,spark.executor.memory=6g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=6g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=128m,2317.7,ssb,100
iceberg,spark,q1_1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,7731.72,ssb,100
iceberg,spark,q1_2,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,8199.67,ssb,100
iceberg,spark,q1_3,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2422.32,ssb,100
iceberg,spark,q2_1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,4095.0,ssb,100
iceberg,spark,q2_2,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,9493.55,ssb,100
iceberg,spark,q2_3,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,16068.85,ssb,100
iceberg,spark,q3_1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2233.59,ssb,100
iceberg,spark,q3_2,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,2273.74,ssb,100
iceberg,spark,q3_3,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,5448.05,ssb,100
iceberg,spark,q3_4,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,11073.17,ssb,100
iceberg,spark,q4_1,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,5969.26,ssb,100
iceberg,spark,q4_2,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,25318.21,ssb,100
iceberg,spark,q4_3,spark.executor.memory=4g; spark.executor.cores=2; spark.executor.instances=1; spark.driver.memory=8g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=512m,8474.9,ssb,100
iceberg,spark,q1_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,3480.27,ssb,100
iceberg,spark,q1_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,4387.67,ssb,100
iceberg,spark,q1_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,17534.21,ssb,100
iceberg,spark,q2_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,2425.39,ssb,100
iceberg,spark,q2_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,2477.99,ssb,100
iceberg,spark,q2_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,2190.47,ssb,100
iceberg,spark,q3_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,16150.82,ssb,100
iceberg,spark,q3_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,4166.27,ssb,100
iceberg,spark,q3_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,16921.7,ssb,100
iceberg,spark,q3_4,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,7525.28,ssb,100
iceberg,spark,q4_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,16373.45,ssb,100
iceberg,spark,q4_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,11149.24,ssb,100
iceberg,spark,q4_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=16; spark.sql.files.maxPartitionBytes=256m,9232.76,ssb,100
iceberg,spark,q1_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,10682.53,ssb,100
iceberg,spark,q1_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,10756.96,ssb,100
iceberg,spark,q1_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,9757.33,ssb,100
iceberg,spark,q2_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,9309.81,ssb,100
iceberg,spark,q2_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,17042.07,ssb,100
iceberg,spark,q2_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2246.88,ssb,100
iceberg,spark,q3_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6202.69,ssb,100
iceberg,spark,q3_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2745.4,ssb,100
iceberg,spark,q3_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2593.89,ssb,100
iceberg,spark,q3_4,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6761.19,ssb,100
iceberg,spark,q4_1,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,8422.92,ssb,100
iceberg,spark,q4_2,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,23220.34,ssb,100
iceberg,spark,q4_3,spark.executor.memory=8g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3162.05,ssb,100
iceberg,spark,q1_1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,17307.52,ssb,100
iceberg,spark,q1_2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,17601.23,ssb,100
iceberg,spark,q1_3,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,9843.47,ssb,100
iceberg,spark,q2_1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,4310.36,ssb,100
iceberg,spark,q2_2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,16899.88,ssb,100
iceberg,spark,q2_3,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2356.49,ssb,100
iceberg,spark,q3_1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,4273.01,ssb,100
iceberg,spark,q3_2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2282.31,ssb,100
iceberg,spark,q3_3,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,17233.59,ssb,100
iceberg,spark,q3_4,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,16533.24,ssb,100
iceberg,spark,q4_1,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,14854.37,ssb,100
iceberg,spark,q4_2,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,26097.75,ssb,100
iceberg,spark,q4_3,spark.executor.memory=4g; spark.executor.cores=8; spark.executor.instances=1; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2290.3,ssb,100
iceberg,spark,q1_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6458.69,ssb,100
iceberg,spark,q1_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6455.15,ssb,100
iceberg,spark,q1_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3666.9,ssb,100
iceberg,spark,q2_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3751.2,ssb,100
iceberg,spark,q2_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4948.17,ssb,100
iceberg,spark,q2_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,10414.6,ssb,100
iceberg,spark,q3_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3414.05,ssb,100
iceberg,spark,q3_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,3619.19,ssb,100
iceberg,spark,q3_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,16549.63,ssb,100
iceberg,spark,q3_4,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,8778.74,ssb,100
iceberg,spark,q4_1,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,5742.94,ssb,100
iceberg,spark,q4_2,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,17742.07,ssb,100
iceberg,spark,q4_3,spark.executor.memory=2g; spark.executor.cores=8; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4804.68,ssb,100
iceberg,spark,q1_1,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3673.79,ssb,100
iceberg,spark,q1_2,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3532.52,ssb,100
iceberg,spark,q1_3,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,5425.1,ssb,100
iceberg,spark,q2_1,spark.executor.memory=6g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=8g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2295.19,ssb,100
