datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,q2_3,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,24065.56,ssb,100
delta,spark,q3_1,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,27530.47,ssb,100
delta,spark,q3_2,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,32724.89,ssb,100
delta,spark,q3_3,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,32132.52,ssb,100
delta,spark,q3_4,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,40762.96,ssb,100
delta,spark,q4_1,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,37738.76,ssb,100
delta,spark,q4_2,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,78589.18,ssb,100
delta,spark,q4_3,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,86740.75,ssb,100
delta,spark,q1_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,1043.46,ssb,100
delta,spark,q1_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,2019.24,ssb,100
delta,spark,q1_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,4360.86,ssb,100
delta,spark,q2_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,16705.88,ssb,100
delta,spark,q2_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,23218.45,ssb,100
delta,spark,q2_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,30382.09,ssb,100
delta,spark,q3_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,27452.34,ssb,100
delta,spark,q3_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,31768.84,ssb,100
delta,spark,q3_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,40982.83,ssb,100
delta,spark,q3_4,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,41571.85,ssb,100
delta,spark,q4_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,42708.31,ssb,100
delta,spark,q4_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,81609.48,ssb,100
delta,spark,q4_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,90802.85,ssb,100
delta,spark,q1_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,991.47,ssb,100
delta,spark,q1_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,1184.14,ssb,100
delta,spark,q1_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,4144.15,ssb,100
delta,spark,q2_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,17272.46,ssb,100
delta,spark,q2_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,20287.7,ssb,100
delta,spark,q2_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,25526.87,ssb,100
delta,spark,q3_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,31419.87,ssb,100
delta,spark,q3_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,33743.94,ssb,100
delta,spark,q3_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,35466.62,ssb,100
delta,spark,q3_4,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,44595.42,ssb,100
delta,spark,q4_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,41691.71,ssb,100
delta,spark,q4_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,75802.71,ssb,100
delta,spark,q4_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,97102.63,ssb,100
delta,spark,q1_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,1554.48,ssb,100
delta,spark,q1_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,4659.77,ssb,100
delta,spark,q1_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,16062.18,ssb,100
delta,spark,q2_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,23202.22,ssb,100
delta,spark,q2_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,22070.75,ssb,100
delta,spark,q2_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,22281.5,ssb,100
delta,spark,q3_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,31767.93,ssb,100
delta,spark,q3_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,41829.79,ssb,100
delta,spark,q3_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,36172.45,ssb,100
delta,spark,q3_4,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,37916.77,ssb,100
delta,spark,q4_1,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,41935.24,ssb,100
delta,spark,q4_2,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,98097.49,ssb,100
delta,spark,q4_3,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,102326.93,ssb,100
delta,spark,q1_1,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,2353.59,ssb,100
delta,spark,q1_2,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,5118.62,ssb,100
delta,spark,q1_3,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,16453.49,ssb,100
delta,spark,q2_1,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,25923.54,ssb,100
delta,spark,q2_2,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,25608.2,ssb,100
delta,spark,q2_3,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,24124.27,ssb,100
delta,spark,q3_1,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,28459.55,ssb,100
delta,spark,q3_2,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,35955.09,ssb,100
delta,spark,q3_3,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,39028.48,ssb,100
delta,spark,q3_4,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,41790.36,ssb,100
delta,spark,q4_1,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,41766.48,ssb,100
delta,spark,q4_2,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,88310.09,ssb,100
delta,spark,q4_3,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,101855.67,ssb,100
delta,spark,q1_1,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,1200.43,ssb,100
delta,spark,q1_2,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,4191.96,ssb,100
delta,spark,q1_3,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,17152.52,ssb,100
delta,spark,q2_1,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,23973.25,ssb,100
delta,spark,q2_2,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,24978.0,ssb,100
delta,spark,q2_3,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,24613.39,ssb,100
delta,spark,q3_1,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,26212.34,ssb,100
delta,spark,q3_2,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,33988.7,ssb,100
delta,spark,q3_3,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,36481.24,ssb,100
delta,spark,q3_4,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,42524.01,ssb,100
delta,spark,q4_1,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,38858.69,ssb,100
delta,spark,q4_2,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,80890.93,ssb,100
delta,spark,q4_3,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,96698.11,ssb,100
delta,spark,syn_q5,124.1;76.8;119.8;50.4;134.8;52.6|111.5;171.3;43.3,33975.20,ssb,100
delta,spark,syn_q5,119.1;163.4;170.6;195.2;165.5;126.6|186.6;200.8;211.1,44128.29,ssb,100
delta,spark,syn_q5,44.3;143.5;68.7;74.6|62.6;51.5;200.6,26732.81,ssb,100
delta,spark,syn_q5,37.0;130.3;15.8;151.8|119.1;141.6;55.6;100.4,29910.48,ssb,100
delta,spark,syn_q5,157.6;117.8;26.1;20.0;39.9;127.4|88.9;202.0;150.8,29337.75,ssb,100
delta,spark,syn_q5,88.7;51.0;107.3;75.6;31.1;138.9;122.7|23.2;124.6;183.8;12.2;97.4,21273.31,ssb,100
delta,spark,syn_q5,155.8;155.2;65.0;32.8;104.5|61.0;120.3;214.1;155.1;251.7;243.8,36065.75,ssb,100
delta,spark,syn_q5,85.4;151.0;92.9;97.4|260.0;177.0;176.3,35688.34,ssb,100
delta,spark,syn_q5,65.0;87.0;193.6;42.7;190.0;97.4;141.0|35.6;254.9;80.6;180.8;161.9,33050.66,ssb,100
delta,spark,syn_q5,175.4;151.7;52.1;158.0;24.5;130.3;110.8|272.7;111.3;220.9;247.5,30757.42,ssb,100
delta,spark,syn_q5,54.9;37.8;47.5;124.5;154.4|61.4;234.1;153.3,21582.79,ssb,100
delta,spark,syn_q5,154.4;95.3;185.6;117.3;130.7;128.7;174.2;129.2|137.5;146.0;193.1;240.9,29087.66,ssb,100
delta,spark,syn_q5,20.7;106.4;69.0;95.9;20.8;168.0;24.6;174.2|188.4;157.0;144.2,29775.72,ssb,100
