datalake,engine,query name,conf,latency,benchmark,sf
delta,trino,job_17b,19.9;19.3;16.1;17.4;29.8;32.5;212.3|0.0;0.0;1.1,190771.40,job,10
delta,trino,job_17b,56.0;17.6;18.2;28.5;16.4;107.3;160.5|0.0;0.0;1.0,223392.52,job,10
delta,trino,job_17b,97.0;15.0;19.3;36.3;262.5;225.0;260.9|0.0;0.9;0.0,168105.43,job,10
delta,trino,job_17b,18.8;18.9;16.1;16.6;30.0;33.9;185.9|1.0;0.0;0.0,203437.37,job,10
delta,trino,job_17b,107.6;14.3;19.3;35.4;273.2;222.7;272.2|0.9;0.0;1.0,172174.45,job,10
delta,trino,job_17b,95.6;13.4;38.3;21.1;265.3;218.1;260.5|1.0;1.1;0.0,163851.65,job,10
delta,trino,job_17b,18.9;17.0;15.6;18.6;32.3;32.0;207.3|0.0;1.1;1.0,191065.36,job,10
delta,trino,job_17b,100.0;15.0;21.5;34.7;256.0;229.7;266.2|0.0;0.0;0.0,207941.59,job,10
delta,trino,job_17b,29.2;15.9;16.0;11.0;135.7;34.7;114.3|1.0;1.0;1.1,167066.13,job,10
delta,trino,job_17b,59.8;16.1;29.9;17.2;16.9;103.0;146.0|1.0;0.9;1.0,226568.24,job,10
delta,trino,job_17b,61.8;17.4;29.0;18.1;16.3;105.3;144.5|1.0;0.0;0.0,191908.82,job,10
delta,trino,job_17b,55.4;17.8;29.2;17.6;15.8;108.6;151.7|0.0;0.0;0.0,282345.48,job,10
delta,trino,job_17f,30.5;15.3;11.3;14.4;126.3;33.8;109.1|0.0;1.0;1.0,1675.57,job,10
delta,trino,job_17f,20.7;18.9;15.9;18.1;33.6;32.2;186.2|0.0;0.0;1.1,223990.02,job,10
delta,trino,job_17f,19.5;17.6;15.8;16.8;32.5;33.2;197.1|1.1;0.0;0.0,243582.91,job,10
delta,trino,job_17f,57.3;18.2;29.6;17.0;14.8;102.9;143.7|1.0;0.0;0.0,195706.70,job,10
delta,trino,job_17f,28.7;15.4;11.3;14.7;129.3;30.7;100.9|0.0;0.0;0.0,234939.07,job,10
delta,trino,job_17f,101.3;14.2;19.7;37.5;267.4;251.1;287.4|0.0;0.0;0.0,190021.34,job,10
delta,trino,job_17f,18.6;19.4;18.5;15.3;34.4;31.0;191.1|1.0;1.1;0.9,207545.85,job,10
delta,trino,job_17f,106.4;13.5;21.0;37.9;239.4;240.0;296.1|0.0;1.0;0.0,237030.34,job,10
delta,trino,job_17f,58.7;18.3;18.0;26.8;16.2;97.5;146.1|0.0;0.0;0.9,182446.34,job,10
delta,trino,job_17f,20.9;18.6;15.7;19.3;30.8;32.0;214.2|0.0;1.0;0.9,187882.72,job,10
delta,trino,job_17f,29.3;16.0;14.1;10.5;131.3;34.1;107.3|1.0;1.0;1.0,236956.47,job,10
delta,trino,job_17f,56.6;18.2;29.9;17.7;14.9;99.4;164.3|0.0;0.0;0.0,185896.70,job,10
delta,trino,job_17f,107.9;15.1;38.2;20.4;272.0;248.5;273.4|1.0;1.0;0.0,212394.72,job,10
delta,trino,job_17f,106.8;13.8;20.6;35.3;239.5;242.0;293.9|0.9;0.0;1.1,184886.40,job,10
delta,trino,job_17f,57.3;15.8;29.8;17.2;16.0;103.1;161.9|1.0;1.1;1.0,257979.70,job,10
delta,trino,job_17c,30.7;14.4;11.7;15.2;134.5;32.9;103.9|0.0;1.0;1.0,2048.85,job,10
delta,trino,job_17c,28.3;15.9;10.7;15.7;119.5;34.6;105.2|0.0;0.0;0.0,245485.16,job,10
delta,trino,job_17c,110.7;13.6;18.8;34.6;241.0;227.3;268.1|0.0;1.0;0.0,189736.93,job,10
delta,trino,job_17c,19.3;19.4;16.9;17.0;32.0;33.5;215.2|1.0;0.9;1.0,206013.97,job,10
delta,trino,job_17c,20.8;17.1;16.8;17.9;30.7;30.0;184.3|1.1;0.0;0.0,234195.04,job,10
delta,trino,job_17c,30.2;15.9;14.3;11.3;134.7;35.6;111.8|1.0;1.1;1.0,236076.91,job,10
delta,trino,job_17c,61.5;15.9;17.3;30.2;14.7;109.1;156.6|0.0;0.0;1.0,188876.37,job,10
delta,trino,job_17c,59.9;17.9;29.6;17.4;15.5;101.1;159.7|1.0;0.0;0.0,260114.88,job,10
delta,trino,job_17c,109.0;14.7;20.4;38.7;257.8;232.1;283.3|1.0;0.0;1.0,182176.33,job,10
delta,trino,job_17c,97.1;13.7;36.9;18.5;248.1;228.3;302.3|1.0;1.0;0.0,189199.31,job,10
delta,trino,job_17c,19.2;17.1;16.5;19.2;31.3;29.8;204.2|0.0;0.0;0.9,251985.52,job,10
delta,trino,job_17c,21.4;16.7;16.8;16.7;31.2;30.9;196.1|0.0;0.9;1.0,245913.62,job,10
delta,trino,job_17c,60.4;16.1;27.4;16.2;16.2;101.3;145.6|1.0;1.0;1.1,221035.05,job,10
delta,trino,job_17c,102.0;14.5;18.5;33.2;255.0;251.4;292.6|0.0;0.0;0.0,259915.67,job,10
delta,trino,job_17c,63.7;17.3;28.6;16.5;15.9;102.8;158.6|0.0;0.0;0.0,252550.12,job,10
delta,trino,job_10a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7512.71,job,10
delta,trino,job_10b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5905.14,job,10
delta,trino,job_10c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5678.86,job,10
delta,trino,job_11b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6262.7,job,10
delta,trino,job_12a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5784.34,job,10
delta,trino,job_12b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,8111.86,job,10
delta,trino,job_13b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5177.48,job,10
delta,trino,job_13d,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,8013.7,job,10
delta,trino,job_14a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4838.3,job,10
delta,trino,job_14b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5214.37,job,10
delta,trino,job_14c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,10825.37,job,10
delta,trino,job_15a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,3482.64,job,10
delta,trino,job_15c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6650.22,job,10
delta,trino,job_15d,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6443.98,job,10
delta,trino,job_16a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,3683.72,job,10
delta,trino,job_16b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6014.8,job,10
delta,trino,job_16d,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6011.92,job,10
delta,trino,job_17a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5393.64,job,10
delta,trino,job_17b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,8298.2,job,10
delta,trino,job_17e,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5792.7,job,10
delta,trino,job_18a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4476.43,job,10
delta,trino,job_18b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5901.32,job,10
delta,trino,job_18c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4068.27,job,10
delta,trino,job_19b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6461.29,job,10
delta,trino,job_1a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5266.88,job,10
delta,trino,job_1b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5507.25,job,10
delta,trino,job_1c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7989.41,job,10
delta,trino,job_1d,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,9115.2,job,10
delta,trino,job_20b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6533.91,job,10
delta,trino,job_20c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5740.93,job,10
delta,trino,job_21a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7171.04,job,10
delta,trino,job_21b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4201.79,job,10
delta,trino,job_21c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4765.08,job,10
delta,trino,job_22a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,10079.47,job,10
delta,trino,job_22b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6348.24,job,10
delta,trino,job_22d,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4950.74,job,10
delta,trino,job_23a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4798.3,job,10
delta,trino,job_23c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,9846.69,job,10
delta,trino,job_24a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,3325.61,job,10
delta,trino,job_24b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7948.81,job,10
delta,trino,job_25a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6560.1,job,10
delta,trino,job_25b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,3835.93,job,10
delta,trino,job_25c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,3757.29,job,10
delta,trino,job_26a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6664.48,job,10
delta,trino,job_26c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4881.71,job,10
delta,trino,job_27a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5211.57,job,10
delta,trino,job_27b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6453.54,job,10
delta,trino,job_28a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4617.23,job,10
delta,trino,job_28c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7336.28,job,10
delta,trino,job_29a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7573.07,job,10
delta,trino,job_2a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4146.21,job,10
delta,trino,job_30a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,8895.63,job,10
delta,trino,job_30b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4681.0,job,10
delta,trino,job_30c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5755.66,job,10
delta,trino,job_31a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,8266.68,job,10
delta,trino,job_32a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4419.06,job,10
delta,trino,job_32b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,8175.92,job,10
delta,trino,job_33a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7096.82,job,10
delta,trino,job_33b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5068.19,job,10
delta,trino,job_33c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4579.26,job,10
delta,trino,job_3b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,8559.07,job,10
delta,trino,job_3c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7946.91,job,10
delta,trino,job_4a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5786.98,job,10
delta,trino,job_4c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4653.14,job,10
delta,trino,job_5a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5371.21,job,10
delta,trino,job_5b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5761.13,job,10
delta,trino,job_5c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4969.57,job,10
delta,trino,job_6a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4519.01,job,10
delta,trino,job_6c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6074.24,job,10
delta,trino,job_6e,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5076.85,job,10
delta,trino,job_6f,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,8737.85,job,10
delta,trino,job_7b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4916.37,job,10
delta,trino,job_8b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6497.26,job,10
delta,trino,job_8d,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,6053.13,job,10
delta,trino,job_9a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,7404.87,job,10
delta,trino,job_9b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,4322.15,job,10
delta,trino,job_9c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=20; query.max-memory-per-node=16; query.max-total-memory-per-node=18; task.concurrency=48; task.max-worker-threads=32,5062.51,job,10
delta,trino,job_10a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,4697.83,job,10
delta,trino,job_10b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,5816.8,job,10
delta,trino,job_10c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,7945.72,job,10
delta,trino,job_11b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,5583.31,job,10
delta,trino,job_12a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,8707.97,job,10
delta,trino,job_12b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,3204.05,job,10
delta,trino,job_13b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,8666.38,job,10
delta,trino,job_13d,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,4762.35,job,10
delta,trino,job_14a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,7450.03,job,10
delta,trino,job_14b,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,6215.79,job,10
delta,trino,job_14c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,3734.62,job,10
delta,trino,job_15a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,10710.89,job,10
delta,trino,job_15c,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,6609.52,job,10
delta,trino,job_15d,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,5479.81,job,10
delta,trino,job_16a,memory.heap-headroom-per-node=16; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=24,5267.41,job,10
