datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,job_13a,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,6879.0,job,10
hudi,spark,job_13a,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,5798.0,job,10
hudi,spark,job_13a,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,6474.0,job,10
hudi,spark,job_13a,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,6572.0,job,10
hudi,spark,job_13b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,3005.0,job,10
hudi,spark,job_13b,20.0;18.0;18.0;16.0;16.0;256.0|1;1;0,3156.0,job,10
hudi,spark,job_13b,20.0;18.0;18.0;16.0;16.0;256.0|0;0;1,3380.0,job,10
hudi,spark,job_13b,20.0;18.0;18.0;16.0;16.0;256.0|1;0;0,2953.0,job,10
hudi,spark,job_13b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;1,2962.0,job,10
hudi,spark,job_13b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,3084.0,job,10
hudi,spark,job_13b,193.0;28.0;28.0;32.0;30.0;408.0|0;1;0,3152.0,job,10
hudi,spark,job_13b,193.0;28.0;28.0;32.0;30.0;408.0|1;0;1,2863.0,job,10
hudi,spark,job_13b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;0,3168.0,job,10
hudi,spark,job_13b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3346.0,job,10
hudi,spark,job_13b,26.0;35.0;39.0;16.0;18.0;1848.0|1;1;0,3017.0,job,10
hudi,spark,job_13b,26.0;35.0;39.0;16.0;18.0;1848.0|1;0;1,3270.0,job,10
hudi,spark,job_13b,98.0;15.0;9.0;16.0;13.0;1178.0|0;1;0,3075.0,job,10
hudi,spark,job_13b,98.0;15.0;9.0;16.0;13.0;1178.0|1;0;1,3342.0,job,10
hudi,spark,job_13c,20.0;18.0;18.0;16.0;16.0;256.0|1;1;1,2939.0,job,10
