datalake,engine,query name,conf,latency,benchmark,sf
delta,presto,q1_1,16;200;20;18;18;32;32,1839.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,641.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,1635.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,2591.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,1230.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,1162.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,1309.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,1308.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,1084.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,793.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,1255.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,1144.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,1056.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,178.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q2_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q3_4,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_1,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q4_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_1,16;200;20;18;18;32;32,186.0,ssb-flat,1
delta,presto,q1_2,16;200;20;18;18;32;32,0.0,ssb-flat,1
delta,presto,q1_3,16;200;20;18;18;32;32,0.0,ssb-flat,1
