datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,ssb_flat_q_03,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,15094.51,ssb-flat,10
delta,spark,ssb_flat_q_04,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,14051.5,ssb-flat,10
delta,spark,ssb_flat_q_06,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,5045.8,ssb-flat,10
delta,spark,ssb_flat_q_07,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2389.56,ssb-flat,10
delta,spark,ssb_flat_q_08,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,5502.06,ssb-flat,10
delta,spark,ssb_flat_q_11,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,13782.86,ssb-flat,10
delta,spark,ssb_flat_q_12,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4142.3,ssb-flat,10
delta,spark,ssb_flat_q_14,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,10340.68,ssb-flat,10
delta,spark,ssb_flat_q_21,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2601.19,ssb-flat,10
delta,spark,ssb_flat_q_22,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2931.87,ssb-flat,10
delta,spark,ssb_flat_q_25,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,4227.07,ssb-flat,10
delta,spark,ssb_flat_q_26,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6716.31,ssb-flat,10
delta,spark,ssb_flat_q_27,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,2785.88,ssb-flat,10
delta,spark,ssb_flat_queries,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,6091.02,ssb-flat,10
delta,spark,ssb_flat_q_01,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,15486.45,ssb-flat,10
