datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,ssb_flat_q_07,60.0;17.0;28.0;17.0;16.0;103.0;156.0|1;1;1,1873.0,ssb-flat,10
hudi,trino,ssb_flat_q_07,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;1;0,1369.0,ssb-flat,10
hudi,trino,ssb_flat_q_07,60.0;17.0;28.0;17.0;16.0;103.0;156.0|0;0;0,1913.0,ssb-flat,10
hudi,trino,ssb_flat_q_07,30.0;15.0;15.0;11.0;128.0;33.0;106.0|1;1;1,2481.0,ssb-flat,10
hudi,trino,ssb_flat_q_07,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,1596.0,ssb-flat,10
hudi,trino,ssb_flat_q_07,30.0;15.0;11.0;15.0;128.0;33.0;106.0|1;0;1,1179.0,ssb-flat,10
hudi,trino,ssb_flat_q_07,30.0;15.0;11.0;15.0;128.0;33.0;106.0|0;0;0,1433.0,ssb-flat,10
hudi,trino,ssb_flat_q_07,136.0;17.0;36.0;21.0;128.0;155.0;232.0|0;1;0,1595.0,ssb-flat,10
hudi,trino,ssb_flat_q_07,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;1;0,1637.0,ssb-flat,10
hudi,trino,ssb_flat_q_07,136.0;17.0;21.0;36.0;128.0;155.0;232.0|0;0;1,1515.0,ssb-flat,10
hudi,trino,ssb_flat_q_07,136.0;17.0;21.0;36.0;128.0;155.0;232.0|1;1;0,1637.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,20.0;18.0;18.0;16.0;32.0;32.0;200.0|1;1;1,1314.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;1,2421.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,20.0;18.0;16.0;18.0;32.0;32.0;200.0|0;1;0,1244.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,20.0;18.0;16.0;18.0;32.0;32.0;200.0|1;0;0,2434.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,103.0;14.0;36.0;20.0;256.0;237.0;280.0|0;1;1,1646.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;1,3378.0,ssb-flat,10
hudi,trino,ssb_flat_q_08,103.0;14.0;20.0;36.0;256.0;237.0;280.0|0;0;0,1895.0,ssb-flat,10
