datalake,engine,query name,conf,latency,benchmark,sf
hudi,spark,ssb_flat_q_22,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,1501.1,ssb-flat,10
hudi,spark,ssb_flat_q_25,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,3283.59,ssb-flat,10
hudi,spark,ssb_flat_q_26,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2952.4,ssb-flat,10
hudi,spark,ssb_flat_q_27,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,2032.07,ssb-flat,10
hudi,spark,ssb_flat_queries,spark.executor.memory=2g; spark.executor.cores=4; spark.executor.instances=1; spark.driver.memory=4g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=512m,4569.54,ssb-flat,10
hudi,spark,ssb_flat_q_01,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3249.21,ssb-flat,10
hudi,spark,ssb_flat_q_02,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2341.42,ssb-flat,10
hudi,spark,ssb_flat_q_03,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,1772.53,ssb-flat,10
hudi,spark,ssb_flat_q_04,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,8293.95,ssb-flat,10
hudi,spark,ssb_flat_q_06,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6629.21,ssb-flat,10
hudi,spark,ssb_flat_q_07,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2722.44,ssb-flat,10
hudi,spark,ssb_flat_q_08,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2565.54,ssb-flat,10
hudi,spark,ssb_flat_q_11,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2441.74,ssb-flat,10
hudi,spark,ssb_flat_q_12,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4217.84,ssb-flat,10
hudi,spark,ssb_flat_q_14,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,1539.11,ssb-flat,10
hudi,spark,ssb_flat_q_21,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3030.16,ssb-flat,10
hudi,spark,ssb_flat_q_22,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,6118.15,ssb-flat,10
hudi,spark,ssb_flat_q_25,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,4395.0,ssb-flat,10
hudi,spark,ssb_flat_q_26,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,2486.65,ssb-flat,10
hudi,spark,ssb_flat_q_27,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,5742.43,ssb-flat,10
hudi,spark,ssb_flat_queries,spark.executor.memory=2g; spark.executor.cores=2; spark.executor.instances=3; spark.driver.memory=6g; spark.sql.shuffle.partitions=8; spark.sql.files.maxPartitionBytes=256m,3057.56,ssb-flat,10
hudi,spark,ssb_flat_q_01,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3104.03,ssb-flat,10
hudi,spark,ssb_flat_q_02,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,2610.67,ssb-flat,10
hudi,spark,ssb_flat_q_03,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,3121.61,ssb-flat,10
hudi,spark,ssb_flat_q_04,spark.executor.memory=8g; spark.executor.cores=4; spark.executor.instances=2; spark.driver.memory=2g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=512m,4840.8,ssb-flat,10
