datalake,engine,query name,conf,latency,benchmark,sf
delta,spark,q1_1,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,9517.35,ssb-flat,100
delta,spark,q1_2,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,52891.85,ssb-flat,100
delta,spark,q1_3,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,16585.64,ssb-flat,100
delta,spark,q2_1,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,11101.31,ssb-flat,100
delta,spark,q2_2,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,11106.55,ssb-flat,100
delta,spark,q2_3,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,29154.33,ssb-flat,100
delta,spark,q3_1,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,19338.01,ssb-flat,100
delta,spark,q3_2,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,10804.98,ssb-flat,100
delta,spark,q3_3,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,41291.7,ssb-flat,100
delta,spark,q3_4,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,22100.91,ssb-flat,100
delta,spark,q4_1,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,21775.33,ssb-flat,100
delta,spark,q4_2,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,27999.61,ssb-flat,100
delta,spark,q4_3,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=3; spark.driver.memory=2g; spark.sql.shuffle.partitions=4; spark.sql.files.maxPartitionBytes=256m,84215.62,ssb-flat,100
delta,spark,q1_1,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,8964.44,ssb-flat,100
delta,spark,q1_2,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,10216.42,ssb-flat,100
delta,spark,q1_3,spark.executor.memory=6g; spark.executor.cores=6; spark.executor.instances=2; spark.driver.memory=8g; spark.sql.shuffle.partitions=32; spark.sql.files.maxPartitionBytes=256m,19120.82,ssb-flat,100
