datalake,engine,query name,conf,latency,benchmark,sf
hudi,trino,q2_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,12539.31,ssb-flat,100
hudi,trino,q3_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,44069.5,ssb-flat,100
hudi,trino,q3_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,15991.63,ssb-flat,100
hudi,trino,q3_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,85095.01,ssb-flat,100
hudi,trino,q3_4,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,115376.46,ssb-flat,100
hudi,trino,q4_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,39706.25,ssb-flat,100
hudi,trino,q4_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,31022.26,ssb-flat,100
hudi,trino,q4_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=16; task.concurrency=48; task.max-worker-threads=24,46679.65,ssb-flat,100
hudi,trino,q1_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,12017.9,ssb-flat,100
hudi,trino,q1_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,96793.9,ssb-flat,100
hudi,trino,q1_3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,18768.44,ssb-flat,100
hudi,trino,q2_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,23975.17,ssb-flat,100
hudi,trino,q2_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,35746.91,ssb-flat,100
hudi,trino,q2_3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,26239.22,ssb-flat,100
hudi,trino,q3_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,16898.97,ssb-flat,100
hudi,trino,q3_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,13547.68,ssb-flat,100
hudi,trino,q3_3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,30756.21,ssb-flat,100
hudi,trino,q3_4,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,90038.1,ssb-flat,100
hudi,trino,q4_1,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,18495.73,ssb-flat,100
hudi,trino,q4_2,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,17013.23,ssb-flat,100
hudi,trino,q4_3,memory.heap-headroom-per-node=20; node-scheduler.max-splits-per-node=256; query.max-memory=24; query.max-memory-per-node=18; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=16,99375.02,ssb-flat,100
hudi,trino,q1_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,56044.11,ssb-flat,100
hudi,trino,q1_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,13477.92,ssb-flat,100
hudi,trino,q1_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,75656.2,ssb-flat,100
hudi,trino,q2_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,25088.72,ssb-flat,100
hudi,trino,q2_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,14913.57,ssb-flat,100
hudi,trino,q2_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,92252.07,ssb-flat,100
hudi,trino,q3_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,24033.12,ssb-flat,100
hudi,trino,q3_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,107988.81,ssb-flat,100
hudi,trino,q3_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,32356.63,ssb-flat,100
hudi,trino,q3_4,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,16722.52,ssb-flat,100
hudi,trino,q4_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,23440.13,ssb-flat,100
hudi,trino,q4_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,32995.83,ssb-flat,100
hudi,trino,q4_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=150; query.max-memory=28; query.max-memory-per-node=16; query.max-total-memory-per-node=20; task.concurrency=16; task.max-worker-threads=16,16248.54,ssb-flat,100
hudi,trino,q1_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=48,57718.84,ssb-flat,100
hudi,trino,q1_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=48,12678.48,ssb-flat,100
hudi,trino,q1_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=48,32716.4,ssb-flat,100
hudi,trino,q2_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=48,54488.71,ssb-flat,100
hudi,trino,q2_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=48,26628.71,ssb-flat,100
hudi,trino,q2_3,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=48,47502.39,ssb-flat,100
hudi,trino,q3_1,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=48,68070.65,ssb-flat,100
hudi,trino,q3_2,memory.heap-headroom-per-node=14; node-scheduler.max-splits-per-node=200; query.max-memory=32; query.max-memory-per-node=20; query.max-total-memory-per-node=14; task.concurrency=16; task.max-worker-threads=48,103383.99,ssb-flat,100
